title,release_year,score,number_of_votes,duration,main_genre,main_production
David Attenborough: A Life on Our Planet,2020,9,31180,83,documentary,GB
Inception,2010,8.8,2268288,148,scifi,GB
Forrest Gump,1994,8.8,1994599,142,drama,US
Anbe Sivam,2003,8.7,20595,160,comedy,IN
Bo Burnham: Inside,2021,8.7,44074,87,comedy,US
Saving Private Ryan,1998,8.6,1346020,169,drama,US
Django Unchained,2012,8.4,1472668,165,western,US
Dangal,2016,8.4,180247,161,action,IN
Bo Burnham: Make Happy,2016,8.4,14356,60,comedy,US
Louis C.K.: Hilarious,2010,8.4,11973,84,comedy,US
Dave Chappelle: Sticks & Stones,2019,8.4,25687,65,comedy,US
3 Idiots,2009,8.4,385782,170,comedy,IN
Black Friday,2004,8.4,20611,143,crime,IN
Super Deluxe,2019,8.4,13680,176,thriller,IN
Winter on Fire: Ukraine's Fight for Freedom,2015,8.3,17710,98,documentary,UA
Once Upon a Time in America,1984,8.3,342335,229,drama,US
Taxi Driver,1976,8.3,795222,113,crime,US
Like Stars on Earth,2007,8.3,188234,165,drama,IN
Bo Burnham: What.,2013,8.3,11488,60,comedy,US
Full Metal Jacket,1987,8.3,723306,116,drama,GB
Warrior,2011,8.2,463276,140,drama,US
Drishyam,2015,8.2,79075,163,thriller,IN
Queen,2014,8.2,64805,146,drama,IN
Paan Singh Tomar,2012,8.2,35888,135,drama,IN
Cowspiracy: The Sustainability Secret,2014,8.2,24845,90,documentary,US
Virunga,2014,8.2,11403,90,war,CD
PK,2014,8.2,178012,153,comedy,IN
Bāhubali 2: The Conclusion,2017,8.2,91560,168,fantasy,IN
Monty Python and the Holy Grail,1975,8.2,530877,91,comedy,GB
Article 15,2019,8.2,32336,130,crime,IN
Miracle in Cell No. 7,2019,8.2,46939,132,drama,TR
13th,2016,8.2,34914,100,documentary,US
Andhadhun,2018,8.2,88359,139,thriller,IN
Bill Burr: Paper Tiger,2019,8.1,10649,67,comedy,GB
Udaan,2010,8.1,44556,138,drama,IN
How to Train Your Dragon,2010,8.1,719717,98,fantasy,US
Klaus,2019,8.1,141480,97,comedy,ES
Swades,2004,8.1,89085,189,drama,IN
Minnal Murali,2021,8.1,24681,158,action,IN
Rang De Basanti,2006,8.1,118092,157,comedy,IN
Seaspiracy,2021,8.1,29604,80,documentary,US
Rush,2013,8.1,465254,123,drama,US
Hannah Gadsby: Nanette,2018,8.1,12035,69,comedy,AU
Barfi!,2012,8.1,80643,151,drama,IN
Haider,2014,8.1,54001,150,drama,IN
Zindagi Na Milegi Dobara,2011,8.1,75801,166,comedy,IN
A Silent Voice: The Movie,2016,8.1,75132,130,romance,JP
OMG: Oh My God!,2012,8.1,57449,125,fantasy,IN
Talvar,2015,8.1,34659,132,thriller,IN
Into the Wild,2007,8.1,611379,140,drama,US
Lagaan: Once Upon a Time in India,2001,8.1,111053,224,drama,IN
My Octopus Teacher,2020,8.1,51232,84,documentary,ZA
Dil Chahta Hai,2001,8.1,71167,183,drama,IN
Mersal,2017,8.1,32573,169,thriller,IN
The Legend of Bhagat Singh,2002,8.1,16225,155,drama,IN
Stand by Me,1986,8.1,392790,89,drama,US
The Exorcist,1973,8.1,391942,133,horror,US
Bombay,1995,8.1,12512,141,romance,IN
Dasvi,2022,8,13140,125,drama,IN
G.O.R.A.,2004,8,61797,127,scifi,TR
Blood Diamond,2006,8,536858,143,thriller,US
Vizontele,2001,8,36291,110,comedy,TR
Ip Man,2008,8,221095,108,drama,HK
Her,2013,8,586679,126,drama,US
The Bourne Ultimatum,2007,8,627009,115,thriller,DE
Casino Royale,2006,8,644336,139,thriller,GB
Special 26,2013,8,55489,144,thriller,IN
Neon Genesis Evangelion: The End of Evangelion,1997,8,51938,87,scifi,JP
Bāhubali: The Beginning,2015,8,117333,159,drama,IN
Ankhon Dekhi,2014,8,11330,104,drama,IN
Big Fish,2003,8,435503,125,drama,US
Silenced,2011,8,15889,125,drama,KR
Life of Brian,1979,8,392419,94,comedy,GB
The Invisible Guest,2017,8,170351,107,thriller,ES
Dave Chappelle: The Closer,2021,8,24903,72,comedy,US
Blade Runner 2049,2017,8,539864,164,scifi,CA
The Imitation Game,2014,8,748654,113,thriller,US
Jab We Met,2007,7.9,51945,138,comedy,IN
Free to Play,2014,7.9,13308,75,documentary,UA
Monty Python Live at the Hollywood Bowl,1982,7.9,15186,77,comedy,GB
Dev.D,2009,7.9,30389,144,drama,IN
Marriage Story,2019,7.9,290643,136,drama,GB
Icarus,2017,7.9,48672,121,documentary,US
I Am Not Your Negro,2017,7.9,21632,93,documentary,BE
Ricky Gervais: Humanity,2018,7.9,18523,79,comedy,GB
Secret Superstar,2017,7.9,24046,150,drama,IN
Kal Ho Naa Ho,2003,7.9,68028,186,drama,IN
Pad Man,2018,7.9,25269,140,comedy,IN
Shyam Singha Roy,2021,7.9,10903,157,drama,IN
How to Train Your Dragon 2,2014,7.8,327565,102,fantasy,US
The Irishman,2019,7.8,371209,209,drama,US
Gangaajal,2003,7.8,17029,157,drama,IN
The Girl with the Dragon Tattoo,2011,7.8,454917,158,crime,NO
Lakshya,2004,7.8,23076,186,drama,IN
The Social Network,2010,7.8,681286,121,drama,US
Dunkirk,2017,7.8,619645,107,drama,US
Kai Po Che!,2013,7.8,36512,126,drama,IN
The Gentlemen,2019,7.8,314049,113,comedy,US
Marco Polo: One Hundred Eyes,2015,7.8,10742,28,action,US
The Hateful Eight,2015,7.8,570138,188,western,US
Hunt for the Wilderpeople,2016,7.8,125720,101,comedy,NZ
The Last Samurai,2003,7.8,429097,154,drama,NZ
Gattaca,1997,7.8,298168,106,thriller,US
The Butterfly's Dream,2013,7.8,21882,138,drama,TR
14 Peaks: Nothing Is Impossible,2021,7.8,22858,101,documentary,US
Nightcrawler,2014,7.8,523686,118,crime,US
Udta Punjab,2016,7.8,29819,148,crime,IN
My Fair Lady,1964,7.8,94121,170,drama,US
System Crasher,2019,7.8,12699,118,drama,DE
The Game Changers,2019,7.8,19708,88,documentary,US
Awakenings,1990,7.8,137549,120,drama,US
Badla,2019,7.8,27130,120,thriller,IN
Madras Cafe,2013,7.7,24319,130,thriller,IN
Beasts of No Nation,2015,7.7,80129,137,war,US
Bonnie and Clyde,1967,7.7,111189,110,drama,US
Roma,2018,7.7,153508,135,drama,MX
Kapoor & Sons,2016,7.7,25792,132,romance,IN
Mucize,2015,7.7,12395,136,drama,TR
Wind River,2017,7.7,240408,106,thriller,FR
Oye Lucky! Lucky Oye!,2008,7.7,17411,126,comedy,IN
Dirty Harry,1971,7.7,153463,102,thriller,US
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,7.7,25593,94,comedy,US
Berserk: The Golden Age Arc II - The Battle for Doldrey,2012,7.7,10257,80,fantasy,JP
Silver Linings Playbook,2012,7.7,697481,122,drama,US
Sanju,2018,7.7,52227,161,drama,IN
Argo,2012,7.7,600392,120,drama,US
Guru,2007,7.7,23541,166,romance,IN
Road to Perdition,2002,7.7,263212,117,thriller,US
The Trial of the Chicago 7,2020,7.7,170728,130,drama,US
When Harry Met Sally...,1989,7.7,212913,96,romance,US
Rock On!!,2008,7.7,21963,144,drama,IN
In the Family,2017,7.7,23297,124,comedy,TR
Pyaar Ka Punchnama,2011,7.7,21204,149,romance,IN
Midnight in Paris,2011,7.7,413541,94,fantasy,US
Donnie Brasco,1997,7.7,300073,127,thriller,US
The Blind Side,2009,7.6,323939,129,drama,US
Sherlock Holmes,2009,7.6,620154,129,crime,GB
Stardust,2007,7.6,269043,122,fantasy,US
Kuch Kuch Hota Hai,1998,7.6,51640,185,drama,IN
Parmanu: The Story of Pokhran,2018,7.6,23771,129,drama,IN
Doctor,2021,7.6,14590,150,thriller,IN
"What Happened, Miss Simone?",2015,7.6,13703,101,musical,US
Eddie Murphy Raw,1987,7.6,19646,93,comedy,US
Delhi Belly,2011,7.6,29578,102,comedy,IN
The Boy Who Harnessed the Wind,2019,7.6,36805,113,drama,MW
Kabhi Haan Kabhi Naa,1994,7.6,18224,158,comedy,IN
The Two Popes,2019,7.6,120871,125,drama,US
The Social Dilemma,2020,7.6,79674,94,drama,US
Bad Genius,2017,7.6,20430,130,thriller,TH
The Mitchells vs. the Machines,2021,7.6,100787,113,animation,US
Gifted Hands: The Ben Carson Story,2009,7.6,10210,86,drama,US
Tell Me Who I Am,2019,7.6,14215,85,thriller,GB
RBG,2018,7.6,14037,98,documentary,US
Highway,2014,7.6,28370,133,drama,IN
Athlete A,2020,7.6,10544,104,documentary,US
Lupin the Third: The Castle of Cagliostro,1979,7.6,30277,100,comedy,JP
Love Actually,2003,7.6,474176,139,drama,GB
Hell or High Water,2016,7.6,224900,102,western,US
Wake Up Sid,2009,7.6,30818,138,comedy,IN
Ludo,2020,7.6,37528,150,crime,IN
Stree,2018,7.6,32814,128,horror,IN
Aamir,2008,7.6,11241,99,thriller,IN
I Am Sam,2001,7.6,149082,132,drama,US
True Grit,2010,7.6,333378,110,western,US
The Distinguished Citizen,2016,7.5,11495,118,comedy,AR
Jodhaa Akbar,2008,7.5,32188,213,romance,IN
The Conjuring,2013,7.5,491048,107,thriller,US
Dhamaka,2021,7.5,39620,104,thriller,IN
Bareilly Ki Barfi,2017,7.5,23011,123,romance,IN
Les Misérables,2012,7.5,325132,157,drama,GB
Berserk: The Golden Age Arc I - The Egg of the King,2012,7.5,12278,76,fantasy,JP
Dil Se..,1998,7.5,28409,163,drama,IN
Omar,2013,7.5,14230,96,thriller,PS
I Lost My Body,2019,7.5,31531,81,fantasy,FR
"tick, tick... BOOM!",2021,7.5,96418,121,drama,US
Coming Soon,2014,7.5,33714,134,drama,TR
Nocturnal Animals,2016,7.5,264884,115,drama,US
A Monster Calls,2016,7.5,86614,108,fantasy,ES
On Body and Soul,2017,7.5,27003,116,fantasy,HU
Ala Vaikunthapurramuloo,2020,7.5,14839,165,drama,IN
The Devil's Advocate,1997,7.5,361422,144,horror,DE
Sivaji: The Boss,2007,7.5,19556,189,drama,IN
Happy as Lazzaro,2018,7.5,17716,125,fantasy,IT
The Guns of Navarone,1961,7.5,50150,158,war,US
Who Am I,2014,7.5,55044,105,thriller,DE
White Christmas,1954,7.5,42373,115,romance,US
Ip Man 2,2010,7.5,103673,108,drama,CN
42,2013,7.5,93314,128,drama,US
Menace II Society,1993,7.5,57399,97,drama,US
Hum Aapke Hain Koun..!,1994,7.5,20986,206,romance,IN
Blow,2001,7.5,255099,124,drama,US
Begin Again,2013,7.4,154049,104,comedy,US
Uncut Gems,2019,7.4,261956,130,drama,US
Sherlock Holmes: A Game of Shadows,2011,7.4,446531,129,crime,US
Rurouni Kenshin Part I: Origins,2012,7.4,25793,134,drama,JP
Forgotten,2017,7.4,29804,109,thriller,KR
Tamasha,2015,7.4,26790,139,drama,IN
Mudbound,2017,7.4,47676,120,drama,US
Lady Bird,2017,7.4,277165,94,drama,US
Molly's Game,2017,7.4,165817,140,drama,CA
Raman Raghav 2.0,2016,7.4,14380,134,thriller,IN
Once Upon a Time in Mumbaai,2010,7.4,17494,132,thriller,IN
Jaane Tu... Ya Jaane Na,2008,7.4,26738,155,drama,IN
Peepli Live,2010,7.4,12265,104,drama,IN
Even the Rain,2010,7.4,13446,104,drama,ES
Darkest Hour,2017,7.4,193208,125,drama,GB
The Bucket List,2007,7.4,242733,97,drama,US
American Factory,2019,7.4,21415,110,documentary,US
Miss Americana,2020,7.4,19151,85,documentary,US
The Hand of God,2021,7.4,30235,130,drama,IT
A Nightmare on Elm Street,1984,7.4,230543,91,horror,US
83,2021,7.4,23781,163,drama,IN
Meenakshi Sundareshwar,2021,7.4,17141,141,comedy,IN
Kurup,2021,7.4,11582,155,crime,IN
"Crazy, Stupid, Love.",2011,7.4,507878,118,romance,US
Schumacher,2021,7.4,21558,112,sports,DE
Guzaarish,2010,7.4,18466,126,drama,IN
What the Health,2017,7.4,28911,97,documentary,US
Mirage,2018,7.4,52657,129,thriller,ES
Bully,2011,7.4,10266,92,drama,US
Phantom Thread,2017,7.4,128600,130,romance,US
Looper,2012,7.4,566791,119,thriller,US
Felon,2008,7.4,78039,103,crime,US
Life in a Metro,2007,7.4,11934,124,drama,IN
Kabhi Khushi Kabhie Gham,2001,7.4,48818,210,drama,IN
Kaminey,2009,7.4,17136,135,drama,IN
"Girl, Interrupted",1999,7.3,180532,127,drama,US
Talaash,2012,7.3,41752,149,thriller,IN
Starship Troopers,1997,7.3,288960,129,scifi,US
The Guernsey Literary & Potato Peel Pie Society,2018,7.3,44917,124,romance,GB
Okja,2017,7.3,116305,122,drama,KR
Ishqiya,2010,7.3,10415,115,comedy,IN
The Edge of Seventeen,2016,7.3,120488,104,comedy,US
Pyaar Ka Punchnama 2,2015,7.3,14968,159,comedy,IN
The Nightingale,2018,7.3,28196,136,thriller,AU
Corpse Bride,2005,7.3,265023,77,fantasy,US
Memoirs of a Geisha,2005,7.3,146847,145,drama,FR
El Camino: A Breaking Bad Movie,2019,7.3,216847,123,thriller,US
Official Secrets,2019,7.3,45200,112,thriller,GB
Coach Carter,2005,7.3,143670,130,drama,US
The King,2019,7.3,119020,140,drama,AU
Identity,2003,7.3,240433,90,thriller,US
The Best of Enemies,2019,7.3,16441,133,drama,US
The Professionals,1966,7.3,16168,117,western,US
Raat Akeli Hai,2020,7.3,17570,149,thriller,IN
Little Women,1994,7.3,57621,115,drama,US
Badhaai Do,2022,7.3,15032,147,comedy,IN
The Conjuring 2,2016,7.3,260693,134,thriller,US
The Fundamentals of Caring,2016,7.3,70542,97,drama,US
The Ballad of Buster Scruggs,2018,7.3,141528,132,western,US
Shot Caller,2017,7.3,83961,120,thriller,US
The Disaster Artist,2017,7.3,149604,104,comedy,US
Blue Jay,2016,7.3,17033,81,romance,US
Te3n,2016,7.3,12816,136,thriller,IN
Monster,2003,7.3,149218,110,crime,US
No One Killed Jessica,2011,7.2,11665,136,crime,IN
Toilet: A Love Story,2017,7.2,20675,155,comedy,IN
Wish Dragon,2021,7.2,24712,99,fantasy,CN
Mom,2017,7.2,10320,147,crime,IN
The Professor and the Madman,2019,7.2,44418,124,thriller,US
Kabir Singh,2019,7.2,30949,172,drama,IN
Dolemite Is My Name,2019,7.2,59836,118,comedy,US
In the Line of Fire,1993,7.2,101939,128,drama,US
The Witcher: Nightmare of the Wolf,2021,7.2,41508,83,fantasy,PL
Ittefaq,2017,7.2,12095,107,thriller,IN
The Tinder Swindler,2022,7.2,57606,114,crime,GB
First They Killed My Father,2017,7.2,17871,136,drama,KH
Don't Look Up,2021,7.2,498447,138,scifi,US
Wazir,2016,7.2,18681,103,thriller,IN
Gabbar Is Back,2015,7.2,24676,130,drama,IN
Fyre,2019,7.2,44715,98,documentary,US
Steve Jobs,2015,7.2,166288,122,drama,GB
Shooter,2007,7.2,329417,124,thriller,US
The Butler,2013,7.2,114013,132,drama,US
The Siege of Jadotville,2016,7.2,38308,108,thriller,IE
Closer,2004,7.2,215678,94,drama,GB
Private Life,2018,7.2,19023,123,drama,US
American Murder: The Family Next Door,2020,7.2,26355,83,crime,US
St. Vincent,2014,7.2,102103,102,comedy,US
A River Runs Through It,1992,7.2,59086,123,drama,US
The Patriot,2000,7.2,270231,165,drama,DE
Five Feet Apart,2019,7.2,61878,116,romance,US
Michael Clayton,2007,7.2,163878,120,thriller,US
The Edge of Democracy,2019,7.2,14605,121,documentary,BR
Paddington,2014,7.2,111092,96,comedy,FR
Wedding Association,2013,7.1,22186,106,comedy,XX
Let Me In,2010,7.1,120208,116,horror,GB
Raajneeti,2010,7.1,17555,167,drama,IN
Body of Lies,2008,7.1,224896,128,drama,GB
The Forgotten Battle,2020,7.1,26368,124,drama,LT
Knock Down the House,2019,7.1,12418,86,documentary,US
The Call,2020,7.1,29450,112,thriller,KR
Forgetting Sarah Marshall,2008,7.1,280121,111,comedy,US
The Railway Man,2013,7.1,39743,116,drama,GB
The Great Hack,2019,7.1,22838,114,documentary,US
Paddleton,2019,7.1,13419,89,drama,US
Desperado,1995,7.1,183638,104,thriller,US
Gantz:O,2016,7.1,14501,95,animation,JP
The Ring,2002,7.1,341888,111,horror,JP
Margin Call,2011,7.1,125883,107,thriller,US
Copenhagen,2014,7.1,13135,98,drama,US
Black Mirror: Bandersnatch,2018,7.1,123377,90,scifi,GB
Metallica: Through the Never,2013,7.1,17433,93,musical,US
Seven Years in Tibet,1997,7.1,141308,136,drama,US
Girl,2018,7.1,14046,105,drama,NL
Kung Fu Panda 3,2016,7.1,152791,95,comedy,US
To All the Boys I've Loved Before,2018,7.1,101175,100,romance,US
Arthur Christmas,2011,7.1,58296,97,drama,GB
Trailer Park Boys: The Movie,2006,7.1,12831,95,comedy,CA
Karthik Calling Karthik,2010,7.1,11944,135,thriller,IN
The White Tiger,2021,7.1,58190,125,drama,IN
Shootout at Lokhandwala,2007,7.1,10139,145,crime,IN
The Devil All the Time,2020,7.1,122321,138,drama,US
Tangerine,2015,7.1,31385,87,comedy,US
The Danish Girl,2015,7.1,180805,119,drama,DE
The Unforgivable,2021,7.1,101975,112,drama,DE
Phir Hera Pheri,2006,7.1,22505,155,comedy,IN
War Dogs,2016,7.1,208185,114,crime,US
The Dig,2021,7.1,71915,112,drama,GB
Blade,1998,7.1,267181,120,action,US
Luck by Chance,2009,7.1,10206,155,romance,IN
Namastey London,2007,7.1,21745,131,comedy,IN
Don,2006,7.1,36836,178,thriller,IN
Don 2,2011,7.1,52338,139,action,DE
Main Hoon Na,2004,7,35142,179,drama,IN
Gangubai Kathiawadi,2022,7,44045,157,drama,IN
Croupier,1998,7,21382,94,thriller,FR
Pieces of a Woman,2020,7,47795,127,drama,HU
Raw,2016,7,72460,98,horror,BE
Loving,2016,7,34139,123,drama,GB
Harold & Kumar Go to White Castle,2004,7,193053,88,comedy,US
Haseen Dillruba,2021,7,25771,135,drama,IN
Rose Island,2020,7,20019,117,drama,IT
Ferry,2021,7,10748,106,drama,NL
Handsome Devil,2017,7,13708,95,drama,IE
Torbaaz,2020,7,17828,132,drama,IN
Ip Man 3,2015,7,54128,105,drama,HK
The Foreigner,2017,7,112487,113,thriller,IN
Mirai,2018,7,14983,98,fantasy,JP
Gaga: Five Foot Two,2017,7,12825,100,musical,US
The Christmas Chronicles,2018,7,71182,104,fantasy,US
Sarkar,2018,7,18453,164,drama,IN
Rambo,2008,7,228799,92,thriller,US
Dil Dhadakne Do,2015,7,17149,170,drama,IN
Soul Surfer,2011,7,49101,112,drama,US
Happy Gilmore,1996,7,217534,92,comedy,US
Den of Thieves,2018,7,107701,140,thriller,US
The Zookeeper's Wife,2017,7,42808,122,drama,GB
The Platform,2019,7,207877,94,horror,ES
Public Enemies,2009,7,297525,143,crime,US
Ip Man 4: The Finale,2019,7,30694,107,drama,CN
John Q,2002,7,131999,116,drama,US
Fashion,2008,6.9,12468,167,romance,IN
Ma Rainey's Black Bottom,2020,6.9,50275,94,musical,US
Any Given Sunday,1999,6.9,118479,162,drama,US
The Long Riders,1980,6.9,11329,99,western,US
Get on Up,2014,6.9,24456,139,drama,US
Fukrey,2013,6.9,11656,137,romance,IN
Chup Chup Ke,2006,6.9,10528,165,comedy,IN
Then Came You,2019,6.9,12356,93,comedy,US
The Wolf's Call,2019,6.9,17236,115,thriller,FR
Cloudy with a Chance of Meatballs,2009,6.9,226225,90,animation,US
Our Souls at Night,2017,6.9,13360,101,drama,US
Chandigarh Kare Aashiqui,2021,6.9,12303,117,crime,IN
Welcome,2007,6.9,21799,160,romance,IN
Everybody Knows,2018,6.9,34009,132,drama,IT
The Meyerowitz Stories (New and Selected),2017,6.9,47971,112,drama,US
I Don't Feel at Home in This World Anymore,2017,6.9,55549,93,drama,US
The Highwaymen,2019,6.9,88714,132,thriller,US
Legend,2015,6.9,175273,132,thriller,US
AK vs AK,2020,6.9,14048,108,drama,IN
My Girl,1991,6.9,79800,103,comedy,US
Amanda Knox,2016,6.9,23969,92,crime,DK
2 States,2014,6.9,25344,149,comedy,IN
The Power of the Dog,2021,6.9,158487,126,drama,CA
The Half of It,2020,6.9,34959,104,comedy,US
Outlaw King,2018,6.9,69834,121,drama,GB
Mary Kom,2014,6.9,10656,122,drama,IN
Suffragette,2015,6.9,41529,106,drama,FR
Legend of the Guardians: The Owls of Ga'Hoole,2010,6.9,82623,100,fantasy,US
Christine,2016,6.9,14977,115,drama,US
The Night Comes for Us,2018,6.9,25500,121,thriller,ID
The Trip,2021,6.9,19706,113,comedy,NO
The Dirt,2019,6.9,47603,108,drama,US
Top Gun,1986,6.9,329656,110,drama,US
Radhe Shyam,2022,6.9,21328,138,romance,IN
Sorry to Bother You,2018,6.9,75653,111,fantasy,US
